Cohort,HaltonIndex,ScenarioId,Stage
1,59,301,known
1,60,302,known
1,61,303,known
1,62,304,known
1,63,305,known
1,64,306,known
1,65,307,known
1,66,308,known
1,67,309,unseen_development
1,68,310,unseen_development
1,69,311,unseen_development
1,70,312,unseen_development
1,71,313,unseen_development
1,72,314,unseen_development
1,73,315,locked_final
1,74,316,locked_final
1,75,317,locked_final
1,76,318,locked_final
2,77,401,known
2,78,402,known
2,79,403,known
2,80,404,known
2,81,405,known
2,82,406,known
2,83,407,known
2,84,408,known
2,85,409,unseen_development
2,86,410,unseen_development
2,87,411,unseen_development
2,88,412,unseen_development
2,89,413,unseen_development
2,90,414,unseen_development
2,91,415,locked_final
2,92,416,locked_final
2,93,417,locked_final
2,94,418,locked_final
3,95,501,known
3,96,502,known
3,97,503,known
3,98,504,known
3,99,505,known
3,100,506,known
3,101,507,known
3,102,508,known
3,103,509,unseen_development
3,104,510,unseen_development
3,105,511,unseen_development
3,106,512,unseen_development
3,107,513,unseen_development
3,108,514,unseen_development
3,109,515,locked_final
3,110,516,locked_final
3,111,517,locked_final
3,112,518,locked_final
4,113,601,known
4,114,602,known
4,115,603,known
4,116,604,known
4,117,605,known
4,118,606,known
4,119,607,known
4,120,608,known
4,121,609,unseen_development
4,122,610,unseen_development
4,123,611,unseen_development
4,124,612,unseen_development
4,125,613,unseen_development
4,126,614,unseen_development
4,127,615,locked_final
4,128,616,locked_final
4,129,617,locked_final
4,130,618,locked_final
5,131,701,known
5,132,702,known
5,133,703,known
5,134,704,known
5,135,705,known
5,136,706,known
5,137,707,known
5,138,708,known
5,139,709,unseen_development
5,140,710,unseen_development
5,141,711,unseen_development
5,142,712,unseen_development
5,143,713,unseen_development
5,144,714,unseen_development
5,145,715,locked_final
5,146,716,locked_final
5,147,717,locked_final
5,148,718,locked_final
